iter	Passed	Remaining
0	1	153
1	2	146
2	4	140
3	5	131
4	6	129
5	8	128
6	9	127
7	11	130
8	13	137
9	15	135
10	16	133
11	17	130
12	19	128
13	20	125
14	21	123
15	23	121
16	24	119
17	26	118
18	27	118
19	29	116
20	30	114
21	31	112
22	33	111
23	34	109
24	35	107
25	37	106
26	38	104
27	40	103
28	41	102
29	43	101
30	44	99
31	45	97
32	47	96
33	48	94
34	50	93
35	51	91
36	52	90
37	54	88
38	56	87
39	57	86
40	58	84
41	59	82
42	60	80
43	62	79
44	63	77
45	64	76
46	66	74
47	67	73
48	68	71
49	70	70
50	71	69
51	73	67
52	74	66
53	76	64
54	76	62
55	78	61
56	79	60
57	80	58
58	82	57
59	83	55
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	92	47
66	93	46
67	95	44
68	96	43
69	97	41
70	99	40
71	100	39
72	102	37
73	103	36
74	104	34
75	105	33
76	107	32
77	108	30
78	110	29
79	111	27
80	113	26
81	115	25
82	116	23
83	118	22
84	119	21
85	121	19
86	122	18
87	124	16
88	125	15
89	127	14
90	128	12
91	129	11
92	131	9
93	132	8
94	134	7
95	135	5
96	137	4
97	138	2
98	140	1
99	141	0
