iter	Passed	Remaining
0	101	100950
1	103	51483
2	105	34907
3	106	26544
4	108	21586
5	110	18251
6	114	16174
7	116	14411
8	118	13038
9	120	11921
10	123	11070
11	125	10333
12	127	9691
13	132	9316
14	134	8801
15	135	8337
16	137	7936
17	139	7616
18	142	7343
19	144	7066
20	146	6808
21	147	6565
22	149	6345
23	151	6141
24	154	6033
25	156	5867
26	158	5718
27	160	5578
28	162	5430
29	163	5297
30	167	5247
31	169	5135
32	171	5025
33	173	4918
34	174	4818
35	176	4727
36	178	4641
37	180	4580
38	183	4517
39	185	4447
40	186	4373
41	188	4307
42	190	4247
43	192	4188
44	196	4174
45	198	4124
46	200	4067
47	202	4009
48	204	3959
49	205	3910
50	207	3865
51	210	3844
52	212	3803
53	214	3760
54	216	3725
55	220	3711
56	221	3672
57	228	3708
58	230	3678
59	234	3672
60	235	3629
61	237	3589
62	240	3572
63	242	3545
64	244	3513
65	246	3492
66	248	3461
67	250	3434
68	252	3404
69	254	3380
70	256	3355
71	258	3326
72	260	3309
73	262	3283
74	264	3256
75	265	3233
76	268	3219
77	271	3203
78	272	3179
79	274	3160
80	276	3137
81	279	3133
82	281	3105
83	282	3084
84	285	3069
85	286	3050
86	288	3028
87	290	3008
88	292	2989
89	293	2970
90	295	2953
91	297	2938
92	299	2921
93	301	2905
94	303	2887
95	304	2869
96	306	2855
97	308	2840
98	310	2823
99	311	2806
100	313	2792
101	315	2778
102	317	2763
103	318	2747
104	320	2732
105	321	2715
106	323	2700
107	325	2685
108	327	2675
109	329	2665
110	331	2652
111	333	2642
112	335	2629
113	336	2616
114	338	2602
115	339	2589
116	341	2578
117	343	2569
118	345	2559
119	347	2548
120	349	2538
121	350	2523
122	352	2512
123	354	2501
124	355	2490
125	357	2483
126	359	2471
127	361	2460
128	362	2450
129	364	2439
130	366	2429
131	368	2420
132	369	2409
133	371	2402
134	373	2396
135	375	2385
136	381	2401
137	383	2393
138	385	2386
139	387	2383
140	389	2375
141	391	2363
142	393	2355
143	394	2347
144	396	2339
145	398	2329
146	401	2330
147	403	2323
148	405	2315
149	407	2306
150	409	2302
151	411	2294
152	413	2286
153	414	2278
154	416	2273
155	418	2266
156	420	2258
157	422	2253
158	424	2246
159	426	2238
160	427	2227
161	429	2221
162	431	2215
163	433	2209
164	435	2202
165	437	2197
166	439	2190
167	440	2182
168	442	2176
169	444	2171
170	446	2164
171	448	2157
172	450	2151
173	451	2145
174	453	2139
175	455	2133
176	457	2126
177	459	2122
178	461	2116
179	463	2110
180	464	2103
181	466	2097
182	468	2090
183	470	2084
184	471	2077
185	473	2071
186	475	2067
187	477	2062
188	479	2058
189	481	2052
190	483	2047
191	485	2041
192	486	2034
193	488	2030
194	490	2024
195	492	2019
196	493	2012
197	495	2005
198	496	2000
199	498	1994
200	500	1988
201	502	1983
202	504	1979
203	506	1976
204	508	1972
205	511	1970
206	512	1964
207	514	1959
208	516	1953
209	517	1948
210	519	1944
211	521	1939
212	523	1935
213	525	1929
214	527	1924
215	528	1919
216	530	1913
217	532	1908
218	534	1907
219	536	1902
220	538	1897
221	540	1892
222	541	1887
223	543	1882
224	544	1877
225	546	1872
226	549	1869
227	551	1865
228	552	1861
229	554	1857
230	556	1852
231	558	1847
232	559	1842
233	561	1838
234	563	1834
235	565	1831
236	568	1828
237	569	1823
238	571	1818
239	572	1813
240	574	1809
241	575	1804
242	578	1801
243	580	1797
244	582	1793
245	583	1788
246	585	1785
247	587	1780
248	588	1776
249	590	1771
250	592	1768
251	594	1765
252	596	1760
253	597	1755
254	599	1751
255	601	1746
256	602	1742
257	604	1738
258	606	1734
259	608	1731
260	610	1727
261	611	1723
262	613	1720
263	615	1716
264	617	1711
265	618	1707
266	620	1703
267	622	1700
268	624	1697
269	626	1692
270	627	1688
271	629	1684
272	631	1680
273	632	1676
274	634	1672
275	636	1668
276	639	1668
277	640	1663
278	642	1660
279	644	1656
280	645	1652
281	647	1648
282	648	1643
283	650	1639
284	653	1639
285	655	1636
286	657	1632
287	658	1628
288	660	1625
289	663	1623
290	664	1620
291	667	1617
292	669	1614
293	671	1611
294	673	1608
295	674	1604
296	676	1601
297	677	1596
298	679	1592
299	680	1587
300	682	1584
301	683	1580
302	685	1576
303	687	1573
304	688	1569
305	690	1565
306	691	1560
307	692	1556
308	693	1551
309	695	1547
310	697	1544
311	698	1541
312	700	1537
313	702	1533
314	703	1530
315	705	1527
316	707	1523
317	708	1520
318	710	1517
319	712	1515
320	714	1511
321	716	1508
322	718	1505
323	719	1502
324	721	1498
325	723	1495
326	725	1493
327	727	1490
328	729	1486
329	730	1482
330	732	1479
331	733	1476
332	735	1472
333	737	1469
334	739	1467
335	742	1468
336	744	1464
337	746	1461
338	747	1458
339	749	1455
340	751	1451
341	752	1448
342	754	1445
343	757	1443
344	759	1441
345	760	1437
